"","","","","","","","","","","","","","","","","","","","",""
"","Identificador","Nome","Cargo","Empresa","Telefone","e-mail","","Empresa","Endereço - Rua","Endereço - Número","Endereço - Estado","Endereço - Cidade","Endereço - CEP","Razão Social","CNPJ","Distribuidora","Modalidade Tarifária","Consumo Ponta","Consumo Fora Ponta","Gestor Responsável (LUX)"
"","Cliente","Ricardo Hicks","Diretor","Empresa30","7227-70367","chad21@jackson.net","","Empresa31","Courtney Junction","492","Washington","Jasonborough","91050","Vargas, Sawyer and Spears","570.743/0001-32","CEMIG","AZUL","2.734,00","19.138,00","Daniel Wood"
"","Cliente","Todd Simon","Coordenador","Empresa4","1375-74652","michelleatkins@medina.net","","Empresa32","Powell Road","707","California","East Cassandraland","91391","Thomas, Campbell and Wood","403.344/0001-12","ENEL SP","AZUL","19.673,00","78.692,00","Daniel Wood"
"","Cliente","Stacey Myers","Diretor","Empresa31","6749-70908","tonya42@guerrero.net","","Empresa4","Price Rapids","810","Connecticut","Martinezhaven","83553","Tran-Roberts","253.143/0001-90","ENEL SP","VERDE","8.246,00","65.968,00","Daniel Wood"
"","Cliente","Amy Durham","Supervisor","Empresa8","1449-97613","juliaaguilar@hotmail.com","","Empresa5","Hudson Divide","568","Delaware","New Tammyborough","29232","Cook-Collins","709.233/0001-44","ENEL SP","AZUL","24.074,00","144.444,00","Daniel Wood"
"","Cliente","Jeffery Nelson","Diretor","Empresa7","9161-65450","hwilkinson@hunt.biz","","Empresa6","Dudley Mill","47","Kentucky","West Susanberg","15217","Duran, Scott and Hanson","977.530/0001-26","CEMIG","VERDE","23.290,00","139.740,00","Daniel Wood"
"","Cliente","Don Sparks","Gerente","Empresa6","8644-83225","charlesirwin@hotmail.com","","Empresa7","Smith Plaza","41","Minnesota","East Jacobchester","42589","Collins-Wilkinson","307.426/0001-83","COPEL","VERDE","8.825,00","52.950,00","Daniel Wood"
"","Cliente","Kimberly Jones","Técnico","Empresa8","6537-68666","michael61@hotmail.com","","Empresa8","Victor Orchard","671","New York","Matthewmouth","65125","Oneill, Weeks and Morrison","911.648/0001-41","COPEL","VERDE","24.353,00","73.059,00","Jeremy Lam"
"","Cliente","Wendy Powell","Assistente","Empresa11","9943-83528","cyoder@gmail.com","","Empresa9","Allen Manors","216","Alaska","Daniellehaven","80971","Murray and Sons","712.206/0001-16","COPEL","VERDE","2.205,00","8.820,00","Amanda Thompson"
"","Cliente","Cody Martin","Assistente","Empresa25","4013-73378","vjefferson@cannon.net","","","","","","","","","","","","","",""
"","Cliente","Jennifer Jones","Diretor","Empresa23","2205-34608","casey75@jackson.com","","","","","","","","","","","","","",""
"","Cliente","Bradley Mcknight","Analista","Empresa31","5599-59065","phelpssusan@mcmillan.com","","","","","","","","","","","","","",""
"","Cliente","Lisa Benton","Técnico","Empresa12","8392-17439","christinafarrell@hotmail.com","","","","","","","","","","","","","",""
"","Cliente","Kristen Cowan","Supervisor","Empresa25","4048-83022","bsantos@gmail.com","","","","","","","","","","","","","",""
"","Cliente","Crystal Smith","Analista","Empresa19","2186-32186","robertbell@moore.com","","","","","","","","","","","","","",""
"","Cliente","Ian Martin","Analista","Empresa23","1443-87809","misty12@hotmail.com","","","","","","","","","","","","","",""
"","Cliente","Jason Salazar","Gerente","Empresa19","8042-25629","kristen10@miller-lee.com","","","","","","","","","","","","","",""
"","Cliente","Richard Skinner","Técnico","Empresa14","1657-26630","reyesthomas@hinton.com","","","","","","","","","","","","","",""
"","Cliente","Maurice Lee","Gerente","Empresa24","1323-91293","ronald83@davis.com","","","","","","","","","","","","","",""
"","Cliente","Angela Anderson","Coordenador","Empresa30","6446-73617","benjaminhinton@hotmail.com","","","","","","","","","","","","","",""
"","Cliente","Kurt White MD","Especialista","Empresa16","2363-20424","kristinacastillo@johnson.com","","","","","","","","","","","","","",""
"","Cliente","Shawn Ayers","Supervisor","Empresa10","2849-63538","imason@davis-floyd.info","","","","","","","","","","","","","",""
"","Cliente","Andrew Cooper","Especialista","Empresa20","2672-70301","darindavis@craig.com","","","","","","","","","","","","","",""
"","Cliente","James Harrison","Técnico","Empresa5","5356-65110","anthonymiller@williams-coleman.com","","","","","","","","","","","","","",""
"","Cliente","Craig Cook","Supervisor","Empresa15","7988-34034","frank72@walker.com","","","","","","","","","","","","","",""
"","Cliente","Mr. Christopher Bender","Diretor","Empresa27","6914-71721","jfranklin@perkins.com","","","","","","","","","","","","","",""
"","Cliente","Angela Perkins","Supervisor","Empresa31","7298-15428","xstephens@cochran.com","","","","","","","","","","","","","",""
"","Cliente","Miranda Cook","Assistente","Empresa31","9287-63842","fernandezmichelle@owens.com","","","","","","","","","","","","","",""
"","Cliente","Amanda Cox","Supervisor","Empresa9","4431-64076","barrettsamuel@hotmail.com","","","","","","","","","","","","",""

